province,municipality,party,ward_list_order,seat_category,surname,full_name,seat_type
Eastern Cape,EC145 - Walter Sisulu,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,ZOTHANA,LIZIWE AGNES,LC PR
Eastern Cape,EC145 - Walter Sisulu,ECONOMIC FREEDOM FIGHTERS,PR(3),PR,PRETORIUS,ELRICO,LC PR
Eastern Cape,EC145 - Walter Sisulu,MALETSWAI CIVIC ASSOCIATION,PR(1),PR,JAN,MSOKOLI,LC PR
Eastern Cape,EC145 - Walter Sisulu,MALETSWAI CIVIC ASSOCIATION,PR(2),PR,FALASI,LINDIWE AGNES,LC PR
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(1),PR,NGQONDWANA,MESULI DOUGLAS,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(2),PR,CAPA,NTANDOKAZI YOLISA,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(3),PR,SOKANYILE,THOKOZILE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(4),PR,NGUDLE,MNTUWOXOLO PERM,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(5),PR,NGQONGWA,NONKOLISO,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(6),PR,NGOZI,WILLIAM,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(7),PR,JACOB,UNATI,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(8),PR,GQOMO,NKOSIFIKILE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(9),PR,MTUKU,NOKUTHULA BEATRICE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(10),PR,NTSHUBA,VUSUMZI WELLINGTON,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(11),PR,NGXAMILE,NICHOLSON PAZAMILE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(12),PR,DYWILI,NOMPUMELELO,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(13),PR,NDABENI,MLAMLI,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(14),PR,ZOZI,ZANDILE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(15),PR,SABISA,TANDEKILE NELSON,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(16),PR,MDLEDLE,NOMTANDAZO URSULA,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(17),PR,GCINGCA,NOTYATYAMBO ROSE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN NATIONAL CONGRESS,PR(18),PR,DAMBUZA,MONWABISI BONISILE,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,AFRICAN TRANSFORMATION MOVEMENT,PR(1),PR,ZUNGULA,MNCEDISI HILLEL YUSOF,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,DEMOCRATIC ALLIANCE,PR(1),PR,NTSODO,ZWELINZIMA ERNEST,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,FUKULA,MZUKISI AULOSHIBA,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,BODOZA,BUKEKA,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,UNITED DEMOCRATIC MOVEMENT,PR(1),PR,DUDUMAYO,BONGANI RICHARD,"DC ""40%"""
Eastern Cape,DC15 - O R Tambo,UNITED DEMOCRATIC MOVEMENT,PR(2),PR,GCILITSHANA,LINDISWA,"DC ""40%"""
Eastern Cape,EC153 - Ngquza Hill,AFRICAN INDEPENDENT CONGRESS,PR(1),PR,GIYO,THULANI SHAUN,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503002,Ward,MQOBHO,MTUTUZELI,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503003,Ward,NTILINI,MCETYISWA THEOPHILLUS,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503004,Ward,KWAZA,MTHETHELELI,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503005,Ward,GULENI,MLULAMI ALECK,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503006,Ward,DIDIZA,MZIKAYISE CYRIL,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503007,Ward,NONTSWABU,SIMNIKIWE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503008,Ward,NOMAZELE,ZUKISA ISAAC,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503009,Ward,VAVA,KHOLISWA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503010,Ward,THIMLE,LUNGILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503011,Ward,NOKELE,BONGANI,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503012,Ward,NONGUMZA,VUMILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503013,Ward,MBENDANA,SINETHEMBA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503014,Ward,MGUDU,THANDAZILE PATRICIA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503015,Ward,RANAI,WISEMAN FUNDISILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503016,Ward,JOTILE,THULISWA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503017,Ward,TENYANE,MPOFANE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503018,Ward,ZATHI,NTSIKELELO,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503019,Ward,MHLONGO,ZAMILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503020,Ward,CWECWE,NONCEDISO NONCEDO,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503021,Ward,NTSHONGWANA,LUZUKO NCEBA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503022,Ward,SIBULALI,MDUDUZI PETROS,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503025,Ward,VATSHA,ZAMILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503027,Ward,NTSHWELA,MAKHATHULA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503028,Ward,NOWA,VELILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503029,Ward,MAGEZA,ZOLEKA,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503030,Ward,MCHOSINI,DUMISANI THEMBELANI,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503031,Ward,NOMGCA,FUNDISILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,21503032,Ward,TSHABANE,SAZI,LC ward
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(1),PR,MTSHAZO,SIMTHEMBILE HOPEWELL,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(2),PR,NKUNGU,MBONGENI ISAAC,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(3),PR,NDZUMO,TANDEKA,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(4),PR,PEPPING,PRUDENCE NTOMBENKOSI,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(5),PR,VATSHA,SIBONGILE BUYISWA,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(6),PR,DANISO,NONTYATYAMBO,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(7),PR,NKANI,BUSISIWE JOYCE,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(8),PR,MVULANA,BULELANI NHULA,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(9),PR,BAMBUSIBA,ZANDILE PRINCESS,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(10),PR,NJISANE,SIPHOKAZI,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(11),PR,JAMJAM,NOMONDE P,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(12),PR,NKUNGU,NOMFUNDISO ABEGAIL,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(13),PR,MZOTHWA,NOMPUMELELO,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(14),PR,SOMANI,VUYOKAZI,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(15),PR,NONCOKWANA,ZWELETHEMBA,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(16),PR,MNYAYIZA,KHAYAKAZI,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(17),PR,MNGQINELWA,NONCEBA CYNTHIA BONGISWA,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN NATIONAL CONGRESS,PR(18),PR,NOTYESI,NOZUKO BEATRICE,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN PEOPLE'S CONVENTION,PR(1),PR,NTSHANGASE,TONNY,LC PR
Eastern Cape,EC153 - Ngquza Hill,AFRICAN TRANSFORMATION MOVEMENT,PR(1),PR,SOBAYENI,PRINCESS TOZAMA,LC PR
Eastern Cape,EC153 - Ngquza Hill,CIVIC INDEPENDENT,PR(1),PR,SUPU,PETSHWANA EDWARD,LC PR
Eastern Cape,EC153 - Ngquza Hill,CIVIC INDEPENDENT,PR(2),PR,KEWANA,DUMISANI ANDRIES,LC PR
Eastern Cape,EC153 - Ngquza Hill,DEMOCRATIC ALLIANCE,PR(1),PR,MABASA,SITHEMBISO NICHOLAS,LC PR
Eastern Cape,EC153 - Ngquza Hill,DEMOCRATIC ALLIANCE,PR(2),PR,SOMZANA,NONANA,LC PR
Eastern Cape,EC153 - Ngquza Hill,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,MABHEDUMANA,BUSISIWE,LC PR
Eastern Cape,EC153 - Ngquza Hill,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,MTSOTSO,ZAMILE,LC PR
Eastern Cape,EC153 - Ngquza Hill,ECONOMIC FREEDOM FIGHTERS,PR(3),PR,MABHUYANA,ZIMBINI,LC PR
Eastern Cape,EC153 - Ngquza Hill,ECONOMIC FREEDOM FIGHTERS,PR(4),PR,MARHAFU,MPUMELELO,LC PR
Eastern Cape,EC153 - Ngquza Hill,ECONOMIC FREEDOM FIGHTERS,PR(5),PR,NDZEKENI,ZAMOKUHLE,LC PR
Eastern Cape,EC153 - Ngquza Hill,ECONOMIC FREEDOM FIGHTERS,PR(6),PR,SIGCU,ZUKISA,LC PR
Eastern Cape,EC153 - Ngquza Hill,INDEPENDENT CANDIDATE,21503001,Ward,TSHABISO,MZOLI,LC ward
Eastern Cape,EC153 - Ngquza Hill,INDEPENDENT CANDIDATE,21503023,Ward,KUMALO,LIMA,LC ward
Eastern Cape,EC153 - Ngquza Hill,INDEPENDENT CANDIDATE,21503024,Ward,NJOVANE,SANDILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,INDEPENDENT CANDIDATE,21503026,Ward,MLANDELWA,MZUVUKILE,LC ward
Eastern Cape,EC153 - Ngquza Hill,UNITED DEMOCRATIC MOVEMENT,PR(1),PR,NOKWINDLA,THULANI DAVID,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504001,Ward,VAVA,NOMSA,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504002,Ward,NDAMASE,LUBABALO,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504003,Ward,MADOTYENI,MAKHOSANDILE BENNI,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504004,Ward,KAWU,NDUMISO,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504005,Ward,MANINJWA,MZIWABANTU,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504006,Ward,MHLABENI,ZWELIVUMILE,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504007,Ward,NDUDU,IKE PETERSON BONGILE,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504008,Ward,MJAKUJA,BULELWA,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504009,Ward,NDABENI,SIPHIWO,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504010,Ward,JAVU,NOMTHANDAZO,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504011,Ward,NCOMFU,BONISWA,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504012,Ward,NGOZI,PHIWABA,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504013,Ward,PUZI,NOKWANDA,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504014,Ward,SICOTO,SIMTHEMBILE ERIC,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504015,Ward,DOBE,NOMAKHOSI,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504016,Ward,MAVIMBELA,SIVUYILE VINCENT,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504017,Ward,MAFAKA,FEZEKA,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504018,Ward,NCOLOSI,SIMNIKIWE IVEN,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504019,Ward,DOBE,NONTLAHLA FLORENCE,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,21504020,Ward,MAKAULA,MONGEZI,LC ward
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(1),PR,TSHOTHO,GCINUMZI,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(2),PR,MONI,XOLILE,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(3),PR,MLOMBILE-CINGO,NOMVUZO,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(4),PR,TANI,NTOMBIKHONA,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(5),PR,BIKIZA,KHANYISA,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(6),PR,TSHIKITSHWA,THEMBEKA,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(7),PR,GANTSHO,ANDREW AYANDA,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(8),PR,MADOLO,SONWABO,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(9),PR,MAZUZA-NDUKU,CEBISA SANNA,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(10),PR,MTIKI,ZALISILE,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN NATIONAL CONGRESS,PR(11),PR,MAZALENI,NOLUVUYO,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN TRANSFORMATION MOVEMENT,PR(1),PR,JAM-JAM,MZWANDILE ALFRED,LC PR
Eastern Cape,EC154 - Port St Johns,AFRICAN TRANSFORMATION MOVEMENT,PR(2),PR,NTIYANTIYA,MANDLAKAYISE,LC PR
Eastern Cape,EC154 - Port St Johns,CIVIC INDEPENDENT,PR(1),PR,PATO,TEMPLETON ZAMEKILE,LC PR
Eastern Cape,EC154 - Port St Johns,DEMOCRATIC ALLIANCE,PR(1),PR,XANGAYI,CHRIS TEMBALIHLE,LC PR
Eastern Cape,EC154 - Port St Johns,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,MAQHAJINI,LINDELANI,LC PR
Eastern Cape,EC154 - Port St Johns,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,HASHIBI,CALVIN,LC PR
Eastern Cape,EC154 - Port St Johns,ECONOMIC FREEDOM FIGHTERS,PR(3),PR,NDUMELA,OLWETHU,LC PR
Eastern Cape,EC154 - Port St Johns,UNITED DEMOCRATIC MOVEMENT,PR(1),PR,NTLATYWA,STATU LYNAS,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505001,Ward,MHLANA,NOZUKO,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505002,Ward,DANISA,NOMBEKO,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505003,Ward,MFAKANYE,GCINIBANDLA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505004,Ward,MADOLO,BRIAN SIYAMDUMISA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505005,Ward,LANGA,MPUMELELO,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505006,Ward,JIBA,NOMAKHOSI,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505007,Ward,NTSUNGUZI,ANATHI,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505008,Ward,MPONGWANA,LULAMILE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505009,Ward,GEBHU,MZAYIFANI,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505010,Ward,MKOSANA,MICHAEL THOBILE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505011,Ward,DIKO,NTOMBOVUYO EDNA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505012,Ward,NONKONYANA,NOBUNTU,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505013,Ward,PETER,NOSISA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505014,Ward,MKENTANE,CAROLINE NESIWE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505015,Ward,MATIWANE,ZANDISILE RICHARD,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505016,Ward,ZIHLANGU,NIKIWE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505017,Ward,MJULWA,AKONA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505018,Ward,NONKOTHAMA,NOLUFEFE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505019,Ward,NOMANDELA,MONWABISI ZACHARIAH,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505020,Ward,HIBHANE,ZILINDILE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505021,Ward,YEHANA,NOMNIKELO,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505022,Ward,MOLOSE,NOMVUYISEKO,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505023,Ward,TSHATSHELA,LUMKILE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505024,Ward,NOMATITI,ANDILE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505025,Ward,YOLWA,PUMZILE PRINCE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505026,Ward,MJAJUBANA,NIKELANI,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505027,Ward,NAZO,CELEKILE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505028,Ward,GAXENI,FUDUMELE,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505029,Ward,MRAWUSHE,ZAMEKA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505030,Ward,MKETO,LUXOLO MXOLI,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505031,Ward,MBUSI,VUYOKAZI GLORIA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,21505032,Ward,NODAZA,PHELEKA,LC ward
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(1),PR,MTOBELA,MCEBISI ROBERT,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(2),PR,VANDA,NOMBINI LETTICIA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(3),PR,MEVANA,ZOLA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(4),PR,MATANDA,NOZIPIWO PHILLIPINA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(5),PR,MCUBE,THANDEKA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(6),PR,NTSASELA,SESETHU,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(7),PR,MATINISE,PATISWA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(8),PR,MJAJUBANA,NTOMBOVUYO GLORIA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(9),PR,NONDLEVU,ZAMEKILE,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(10),PR,MCHITHAKALI,ZOLEKA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(11),PR,TYOPO,NOLULAMO,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(12),PR,NGANGAZA,SYLVIA NOWAM,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(13),PR,NTOZA,NOVUSILE PATRICIA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(14),PR,MBODLOYI,FANISWA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(15),PR,MBIYOZO,SIMBONGILE,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(16),PR,MAJIKIJA,THULISWA,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(17),PR,JIM,NDUMISO,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(18),PR,ZONDANI,VATISWA BALUNGILE,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN NATIONAL CONGRESS,PR(19),PR,DLANI,XOLISILE HAMILTON,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN TRANSFORMATION MOVEMENT,PR(1),PR,VUTELA,MCDONALD ANDILE,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN TRANSFORMATION MOVEMENT,PR(2),PR,JAMA,NTSIKELELO NEVILLE,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN TRANSFORMATION MOVEMENT,PR(3),PR,MABUNGELA,JONGILIZWE,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN TRANSFORMATION MOVEMENT,PR(4),PR,MDLUNGU,NOMNIKELO,LC PR
Eastern Cape,EC155 - Nyandeni,AFRICAN TRANSFORMATION MOVEMENT,PR(5),PR,MASEKO,MBEKO NKOSINATHI,LC PR
Eastern Cape,EC155 - Nyandeni,CIVIC INDEPENDENT,PR(1),PR,NOXAKA,DUMISANI,LC PR
Eastern Cape,EC155 - Nyandeni,DEMOCRATIC ALLIANCE,PR(1),PR,MAVUME,SITHANDIWE,LC PR
Eastern Cape,EC155 - Nyandeni,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,MALINDI,BUSIWE,LC PR
Eastern Cape,EC155 - Nyandeni,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,NTINTA,SEBENZILE,LC PR
Eastern Cape,EC155 - Nyandeni,ECONOMIC FREEDOM FIGHTERS,PR(3),PR,MAPOLISA,ZAMA,LC PR
Eastern Cape,EC155 - Nyandeni,ECONOMIC FREEDOM FIGHTERS,PR(4),PR,MATOMELA,ZANDILE,LC PR
Eastern Cape,EC155 - Nyandeni,UNITED DEMOCRATIC MOVEMENT,PR(1),PR,TATANI,KHAYALETHU,LC PR
Eastern Cape,EC155 - Nyandeni,UNITED DEMOCRATIC MOVEMENT,PR(2),PR,MKWELANGA,ELLIOT PUMLANI,LC PR
Eastern Cape,EC156 - Mhlontlo,AFRICAN NATIONAL CONGRESS,21506001,Ward,MNGCOTANA,SIMPHIWE,LC ward
Eastern Cape,EC156 - Mhlontlo,AFRICAN NATIONAL CONGRESS,21506002,Ward,RANGA,NTSIKELELO,LC ward
Eastern Cape,EC156 - Mhlontlo,AFRICAN NATIONAL CONGRESS,21506003,Ward,MBOLA,SIMTEMBILE,LC ward
